1023569,U' R2 U F2 U2 B' L D' L' B R F2 R' U2 F2
1326599,U L2 D2 R' U' D2 B2 U' B D L2 U2 F U' F2 D'
1932659,L2 D2 R U' B' D2 R2 D' B' U' D2 B2 U2 D' L2
417509,D R' U D' F' R' F' R L2 D2 B D2 B L B' U2 L
2235689,D' F2 U2 D R2 U' F U F2 U2 R U' R U2 F2 R
114479,R2 U B U B' L F' L F' R' U' R' U F L2 U' R
720539,L2 U2 D B2 U D2 B D R2 D2 B U R' D2 L2
1629629,U2 L2 F' R' D' L B2 L U L U2 F2 L2 B' D L U'
1939393,U2 L' B D' R' B' D' R2 D2 L U B U'
2242423,U2 R B U' F B2 R2 B U R U' F' R'
424243,R2 D R B U R2 U' R' B' D'
1333333,U B2 L F L2 B D' R' D2 R2 D B' L B2 R
727273,L U F U L2 D' L' D R' F2 B2 R B2 R L2 F2
1030303,R U' R' F U2 F2 U2 F' R' L F R D R2 D' L'
1636363,U R F U F2 U' R' F' U' R2
121213,U R' B' R2 B L U F' U' R' F2 R2 L'
1670033,R2 U B' D L U B U' L' B' U2 B2 U D'
1973063,R B R2 B' R U2 R B L U L' U2 R B'
154883,U' R2 D F R2 B' R F' B2 U' R B2 R' B D'
1063973,L U2 D' F' U' L F' U' D F2 D R' B2 D' R' L'
457913,F R' F' U' F2 R F R U R2 F2 U2 R U2
760943,U' R U2 R2 L2 F' R D' L D2 R2 D2 B D L
1367003,R2 B2 L' D2 R' B U' L2 F' D2 F U' R' L' F2
2276093,U L D' F' L' F2 L D R' U' R U F' R' L' U'
1131313,U2 R2 U2 B' R' B2 U' B' U2 R' U R2
1434343,R U2 F R2 U L' B' R B L U' F' R' U
2040403,L' F' L U L' F R2 B2 U R2 U' L' D R2 L2
525253,R' U2 F' U2 F U2 L F2 L' B' R' B U R U2
2343433,F2 L2 D2 R D2 L' F2 D' L2 U B U L' D L2
222223,U R L2 F' R2 F D2 B2 R D L' F' D R2 L' U2
828283,R U2 F R2 F' U2 R' U2 L F D R' D' L' U2
1737373,U L F R' D B R2 B R' L U2 L' D' R2 L' U2
53873,R B2 L' B L B2 U2 R U B' R2 U' R2 U
356903,U L2 D2 F2 R' D R' F R' F' D2 L D' B L
962963,F U F L' F R' F' R L2 D F' R2 D' L' U'
1872053,F' L' U L U' R U R2 F R D R2 F R2 F' D'
1265993,L F' U F2 U' R' F2 D R' D' R' F R2 F' R' L'
1569023,U' L F U D' F2 D2 B R B' U D' R' L F2 R' L2
2175083,R' L F' R F D R D R D' R D' L2 U2 L
659933,U L U F' U' L2 U2 L U F2 D R2 D' L' U2 L
346321,U' F' U' F R' U' B' D2 F D F' R D B U'
649351,L D' F D R L' U2 R U' B' R2 F2 R' B R F2
1255411,L2 D R D' L' U2 L2 D2 B' D' B D R2 D2 R' L
2164501,R2 U R L F R F' U F U' D' F D L' U'
1558441,D F' D2 B2 R F' B U L F2 L F B D2 L F'
1861471,R U2 F' U F R' B U2 L' D' B L' D' F' R2 L2 B2
43291,F' D' R2 U2 F2 R F2 R' F' U2 R2 D R F
952381,U B' R' B R F' U' F B L F2 U2 L' B' U R'
76961,R' U2 R' U R2 U R2 F' R' U' R F U R' U2
379991,R' U B2 L' B' L U2 R U' L U R' L' B' U2 R
986051,L' B2 D' F B2 L' U' L' U2 B L2 F' L B D B2
1895141,R2 F2 R U2 B U2 L2 F' L2 B' R U F2 R2 U' F2
1289081,U F' U L2 B2 R' B' D B D' F D F' B' D2 B' L2
1592111,B2 R' B2 U R' U2 B L' D' L' F L' F U2 F L' B'
2198171,L2 F' B' R2 U2 F' U' F U2 R' B R U R' F L2
683021,U B' R B L F L2 B2 R' B' D B' D' L' D L2
1962481,B' U R2 U2 F' U' F2 R' F' R2 U' R U' B
2265511,F2 L' B2 D' L U B' U' F2 R' B2 U' R D B' D'
447331,L2 B L B2 R' B2 D B D' B2 L U' F2 U' F'
1356421,F L B2 R B' L' D2 F2 L2 B D' B2 L2 F' U' F'
750361,R2 F U F' R2 F2 R' U' F' R' U R U2 L F' L'
1053391,B' R2 U' B' R' B R2 B2 L' B' L2 F2 L F' L' U' F2 L'
1659451,F' L2 B' R B2 R U2 R2 U B' U' R2 U2 R' B' L2 F
144301,F B' U F' U' R2 D R2 D' F' R' B U F' U' F
885041,L' B D B D' B2 R L2 F2 U F2 U' F2 L' U' R'
1188071,B' R' B U2 L U2 L' B' R' U' R B' R B2
1794131,R2 U' F U' F' U2 F2 U F' U2 L B' D2 B L' F'
278981,R2 F U2 F U' R F R F D R' U' R D' R2 F'
2097161,B' R2 F B U L' B' R' F R2 F' R U' B L2 F2 L'
2400191,B' R2 B U' B' R U2 B L F2 U F2 L F' L2 U'
582011,B2 R' D' R D B R F B U2 L' U L U F'
1491101,U L' U2 L U F' R B2 L D L' F L' D L B2
1316017,U' F' U2 F L' B' R D' R2 D B R L U R2
1619047,R2 U R2 U R' F' B U' B2 R B R' F R' U'
2225107,R U' F' U2 L2 D' B2 D' R' L' D2 L' U' R F U'
709957,R' U2 F2 R' F' U' D' F2 L' U' L U' F' D L' U' L
103897,B L2 F2 L' U2 F2 L2 B2 D B L2 F L F' R L2 U2
406927,B2 L U B' L U' R' L2 B' R' D F' B R' F B' D2
1012987,R2 L2 F B' L B' L F U2 L2 F2 B D' B R L2
1922077,U' L B' D F D' F' D' B R' F L' U2 L F2 R2 L'
1046657,L' B' D B2 D' L B' U R2 B' U R2 U' R B U'
1349687,B U2 B' R2 B' U' R' U B U R F R2 F' R U
1955747,D' F2 L2 F2 D F' R' F R2 F' U2 D B2 U2 D' F U2
440597,B' L' D2 B2 R' L2 F' U' F' U F2 U2 L' B' R' U'
2258777,L2 D R2 U F D' R' F' U' B' D2 R D B L2
137567,R' F' R' B2 D2 F D F' D' L' D2 B2 U F R' U2
743627,F' U' R' F U2 F2 B U F2 B L F2 L' B2 R2
1652717,U' L F' D2 R2 F2 D F' D R2 L2 U2 R B L F2
507937,U R' U R2 U R2 D B U B' D' R U2 R U'
810967,F D2 R' F2 L U B L2 F' D' F2 U2 F' L F
1417027,R' L D R2 D' F R2 F U' R U R D' F' D L'
2326117,L' B' L2 D R' D2 F L B2 L B2 U2 R B2 U' L U2
